IDI_baseline,time_baseline,IDI_tool,time_tool
0.447,101.5833194309962,0.674,11.85910593799781
0.436,104.89982037199661,0.582,13.386778009007685
0.439,106.05971597199095,0.591,12.827585218008608
0.412,106.7494405520265,0.577,12.686610875010956
0.401,107.22723166598007,0.688,11.02459348400589
0.449,105.0311630400247,0.545,12.070713602995966
0.442,104.90943164896453,0.62,11.0848550129449
0.445,104.83405504497932,0.597,12.044193110021297
0.455,104.69424180098576,0.606,11.675992970005609
0.423,105.08064519596519,0.607,16.46700951596722
