IDI_baseline,time_baseline,IDI_tool,time_tool
0.442,102.9631859480287,0.494,7.912347392993979
0.454,103.53299428301398,0.491,7.66906641802052
0.453,104.40495091304183,0.452,7.5480677629821
0.444,105.36145250301342,0.485,7.767218538036104
0.43,106.87101852300111,0.56,7.76845852797851
0.423,106.65277709200745,0.464,7.857731839001644
0.435,106.97759237396531,0.507,7.694057298998814
0.425,107.13089631102048,0.52,7.7629057969897985
0.404,107.05650564999087,0.513,7.57833730999846
0.461,107.61101223004516,0.532,7.856544840033166
