IDI_baseline,time_baseline,IDI_tool,time_tool
0.06,106.31651892099762,0.026,43.044196954986546
0.066,106.4870612329687,0.01,17.243073233985342
0.063,105.25709107297007,0.023,35.03813085099682
0.063,106.77008586499142,0.001,20.430579708016012
0.06,105.45289736200357,0.032,44.297018668963574
0.051,106.18966585805174,0.011,25.042246035998687
0.044,105.73263718897942,0.0,90.38591109000845
0.042,107.24759809899842,0.016,83.53500073699979
0.043,107.6249908360187,0.017,121.00196954800049
0.057,107.33808818104444,0.056,64.00923615001375
