IDI_baseline,time_baseline,IDI_tool,time_tool
0.31,107.1669592729886,0.584,12.639835175999906
0.331,107.5228249420179,0.712,7.357210664020386
0.325,106.91092243499588,0.788,7.01541165902745
0.336,106.60257917200215,0.788,7.414094445994124
0.326,106.93649832298979,0.79,7.36540538596455
0.333,111.88140071299858,0.623,16.967257604992483
0.364,107.44055989501067,0.627,9.633028685988393
0.337,107.01881121098995,0.542,13.031069463992026
0.369,106.90596732404083,0.528,5.832404575019609
0.348,107.18307786097284,0.821,7.455053569981828
