IDI_baseline,time_baseline,IDI_tool,time_tool
0.019,105.71548131899908,0.554,9.632311393041164
0.02,105.82260415097699,0.544,8.535260862030555
0.017,106.23564268299378,0.613,8.197552359022666
0.013,105.51979385799496,0.581,7.191931377048604
0.018,106.34582214202965,0.57,7.299482592032291
0.016,106.15457090601558,0.656,7.417833712999709
0.015,106.08017005003057,0.571,6.736071957973763
0.012,105.66032064601313,0.681,7.1156264440505765
0.016,105.70676600001752,0.664,9.0972411899711
0.015,106.19488124694908,0.65,6.6133199610048905
