IDI_baseline,time_baseline,IDI_tool,time_tool
0.512,106.27236000401899,0.586,8.087821324006654
0.533,107.33720243803691,0.541,6.300216897972859
0.518,107.27036915504141,0.971,6.0918888979940675
0.523,106.17930305399932,0.65,6.019573518016841
0.533,105.89451494702371,0.823,5.260929487994872
0.54,106.6877869219752,0.694,7.883466797997244
0.447,106.47005260601873,0.927,5.797442968003452
0.484,106.21487907104893,0.752,8.2727711549960077
0.522,105.69848155998625,0.886,6.010988775989972
0.521,117.68522209196817,0.764,7.397185034991708
