4000 training data,6000 training data,8000 training data,10000 training data
0.466,0.498,0.495,0.467
0.528,0.603,0.468,0.486
0.514,0.452,0.515,0.482
0.454,0.466,0.495,0.552
0.556,0.465,0.421,0.501
0.463,0.521,0.565,0.49
0.539,0.451,0.46,0.478
0.555,0.504,0.548,0.464
0.489,0.431,0.466,0.521
0.532,0.577,0.451,0.483
0.522,0.486,0.538,0.468
0.464,0.479,0.494,0.491
0.451,0.482,0.471,0.505
0.522,0.492,0.519,0.46
0.433,0.451,0.506,0.492
0.459,0.514,0.553,0.471
0.558,0.549,0.525,0.474
0.467,0.505,0.487,0.588
0.517,0.479,0.422,0.48
0.512,0.539,0.542,0.463
0.487,0.479,0.479,0.456
0.549,0.458,0.443,0.469
0.554,0.477,0.533,0.486
0.586,0.46,0.477,0.49
0.5,0.514,0.5,0.473
0.566,0.525,0.485,0.56
0.505,0.54,0.536,0.542
0.362,0.437,0.524,0.502
0.567,0.553,0.433,0.502
0.509,0.59,0.429,0.523
0.483,0.476,0.54,0.467
0.544,0.495,0.533,0.434
0.524,0.473,0.456,0.47
0.466,0.472,0.49,0.512
0.495,0.51,0.544,0.437
0.475,0.465,0.488,0.482
0.555,0.491,0.522,0.423
0.488,0.547,0.461,0.486
0.543,0.498,0.558,0.491
0.556,0.533,0.485,0.47
0.495,0.508,0.566,0.474
0.464,0.478,0.458,0.542
0.501,0.394,0.519,0.492
0.439,0.484,0.409,0.51
0.516,0.49,0.566,0.439
0.554,0.493,0.521,0.493
0.494,0.463,0.486,0.463
0.494,0.502,0.449,0.529
0.525,0.425,0.433,0.444
0.494,0.409,0.437,0.49
0.526,0.465,0.486,0.496
0.553,0.537,0.535,0.553
0.436,0.551,0.444,0.44
0.5,0.468,0.455,0.499
0.55,0.497,0.526,0.463
0.559,0.539,0.429,0.474
0.476,0.521,0.462,0.484
0.563,0.544,0.554,0.536
0.421,0.45,0.507,0.5
0.5,0.535,0.539,0.492
0.513,0.329,0.466,0.524
0.559,0.56,0.488,0.532
0.455,0.479,0.48,0.511
0.548,0.596,0.469,0.457
0.523,0.446,0.478,0.491
0.533,0.552,0.561,0.429
0.552,0.517,0.489,0.52
0.461,0.498,0.483,0.548
0.575,0.498,0.535,0.483
0.511,0.547,0.498,0.522
0.414,0.486,0.514,0.517
0.367,0.531,0.506,0.509
0.496,0.427,0.368,0.437
0.51,0.517,0.49,0.505
0.46,0.495,0.477,0.481
0.447,0.513,0.522,0.483
0.539,0.51,0.517,0.51
0.431,0.425,0.537,0.386
0.504,0.505,0.546,0.46
0.56,0.486,0.465,0.476
0.491,0.491,0.423,0.511
0.519,0.492,0.503,0.44
0.476,0.479,0.501,0.504
0.519,0.443,0.492,0.461
0.542,0.48,0.459,0.527
0.48,0.507,0.549,0.532
0.527,0.486,0.524,0.545
0.478,0.522,0.402,0.469
0.496,0.547,0.479,0.495
0.572,0.582,0.51,0.513
0.46,0.481,0.499,0.49
0.555,0.436,0.528,0.431
0.53,0.404,0.44,0.412
0.483,0.457,0.49,0.49
0.592,0.525,0.477,0.493
0.486,0.562,0.452,0.549
0.562,0.509,0.472,0.515
0.517,0.513,0.539,0.468
0.5,0.406,0.553,0.51
0.363,0.492,0.556,0.456
